_source,attributes-age,attributes-age-estimated,attributes-bark-circumference,attributes-bark-diameter,attributes-canopy-area,attributes-canopy-diameter,attributes-description,attributes-genus,attributes-good-status,attributes-health-score,attributes-height,attributes-num-barks,attributes-species,attributes-species-clean-en,attributes-species-clean-he,attributes-year-planted,cad_code,cad_gush,cad_parcel,cluster-size,coords,environment-description,environment-grass,environment-habitat,environment-habitat-volume,environment-irrigated,environment-irrigation-type,environment-irrigation-water-quality,environment-lighting,environment-pavement,environment-signage,environment-sitting-area,environment-type,idx,importance-aesthetic,importance-botanical,importance-community,importance-historic,importance-symbolic,location-accuracy,location-address,location-block,location-city,location-elevation,location-grid,location-plot,location-street,location-street-number,location-x,location-x-il,location-y,location-y-il,meta-collection-type,meta-date,meta-internal-id,meta-source,meta-source-type,meta-tree-id,meta-url,muni_code,muni_name,muni_name_en,muni_region,photos-bark,photos-fruit,photos-general,photos-ground,photos-leaf,photos-top-view,photos-wide-view,road_id,road_name,road_type,stat_area_code
https://s3.eu-west-2.wasabisys.com/opentreebase-public/source/ashdod/סקר עצים עד יולי 2023.xlsx#sheet-עצים (35),,,,40,,,,1,,,3,,דקל וושינגטוניה,Wodyetia Bifurcata,דקל זנב השועל,,3172/180,3172,180,1,"[34.62464883326374, 31.767224820716685]",,,,,,,,,,,,,38746,,,,,,,,,אשדוד,,epsg:2039,,אבני החושן,,34.62464883326374,164530.9158105445,31.767224820716685,630653.1596449357,סקר רגלי,2020-03-08,4108,סקר עצים עיריית אשדוד,מוניציפלי,8G3PQJ8F+VVJX,https://www.ashdod.muni.il/he-il/%D7%90%D7%AA%D7%A8-%D7%94%D7%A2%D7%99%D7%A8/%D7%AA%D7%A4%D7%A2%D7%95%D7%9C/%D7%A0%D7%98%D7%99%D7%A2%D7%95%D7%AA/,0070,אשדוד,Ashdod,דרום,,,,,,,,"אבני החושן, אשדוד",אבני החושן,tertiary,700434
https://s3.us-east-1.wasabisys.com/opentreebase-public/source/beer-sheva/open-data/2022/trees.geojson#1,,,,,,,,סיגלון עלה מימוזה,,,,,,,,,38302/23,38302,23,2,"[34.77244560140684, 31.219995346790796]",,,,,,,,,,,,,477266,,,,,,,,,באר שבע,,epsg:4326,,,,34.77244560140684,178293.31714744272,31.219995346790796,569910.845080501,סקר רגלי,2022-03-07,13977,סקר עצים - באר שבע,מוניציפלי,8G3P6Q9C+XXWV,https://www.beer-sheva.muni.il/OpenData/Lists/Packages/CustomDispForm.aspx?ID=185,9000,באר שבע,Be'er Sheva,דרום,,,,,,,,"עדן פרטוש, באר שבע",עדן פרטוש,tertiary,90000614
/tmp/file-cache/20230709135411-https_s3_eu_west_2_wasabisys_com_opentreebase_public_source_tel_aviv_north_trees.geojson,,,,,,,,,,,,,בוהניה מגוונת,Bauhinia Variegate,בוהיניה מגוונת,,6997/257,6997,257,1,"[34.75682521643068, 32.03323832364838]",חשמל מתח נמוך וגבוה,,,,,,,,,,,,5584,,,,,,,,,,,,,מחרוזת,34,34.75682521643068,177174.2753191022,32.03323832364838,660091.7447941615,סקר רגלי,2018-01-01,628-30318,סקר עצים תל-אביב-יפו,מוניציפלי,8G4P2QM4+7PWF,https://gisn.tel-aviv.gov.il,6200,בת ים,Bat Yam,תל אביב,,,,,,,,,,,62000413
/tmp/file-cache/20230709135411-https_s3_eu_west_2_wasabisys_com_opentreebase_public_source_tel_aviv_north_trees.geojson,,,,,,,,,,,,,פיקוס מעוקם,Ficus Obliqua,פיקוס מעוקם,,6163/49,6163,49,1,"[34.81122567309153, 32.0588318718713]",,,,,,,,,,,,,4265,,,,,,,,,,,,,דרך השלום,149,34.81122567309153,182323.3475327774,32.0588318718713,662909.8184755219,סקר רגלי,2018-01-01,628-24954,סקר עצים תל-אביב-יפו,מוניציפלי,8G4P3R56+GFQ6,https://gisn.tel-aviv.gov.il,6300,גבעתיים,Giv'atayim,תל אביב,,,,,,,,,,,63000045
https://s3.eu-west-2.wasabisys.com/opentreebase-public/source/hod-hasharon/surveys/טבלת עצים אזור ירוק - מערכת יעד.csv,,true,,5,,2,,,,,3,,מיש בונגה,Celtis Bungeana,מייש בונגה,,6450/106,6450,106,1,"[34.894981224603384, 32.13882841831612]",,,,,,,,,,,,ערוגה,526068,,,,,,,,,,,ישראל,,,,34.894981224603384,190258.23345373815,32.13882841831612,671754.9430706525,סקר רגלי,2023-12-01,11850,סקר עצים הוד השרון,מוניציפלי,8G4P4VQV+GXQ3,https://s3.eu-west-2.wasabisys.com/opentreebase-public/source/hod-hasharon/surveys/טבלת עצים אזור ירוק - מערכת יעד.csv,20,דרום השרון,Drom Hasharon,מרכז,,,https://s3.eu-west-2.wasabisys.com/opentreebase-public/source/hod-hasharon/photos/11850.jpg,,,,,,,,5520
https://s3.eu-west-2.wasabisys.com/opentreebase-public/source/hod-hasharon/surveys/טבלת עצים אזור ירוק - מערכת יעד.csv,,true,,20,,4,,,,,6,,סיגלון עלי-מימוסה,Jacaranda Mimosifolia,סיגלון עלה-מימוזה,,6573/182,6573,182,1,"[34.892480529347054, 32.13160393772271]",,,,,,,,,,,,ערוגה,526784,,,,,,,,,,,ישראל,,,,34.892480529347054,190019.96735369507,32.13160393772271,670954.4919707198,סקר רגלי,2023-12-01,12829,סקר עצים הוד השרון,מוניציפלי,8G4P4VJR+JXX3,https://s3.eu-west-2.wasabisys.com/opentreebase-public/source/hod-hasharon/surveys/טבלת עצים אזור ירוק - מערכת יעד.csv,9700,הוד השרון,Hod Hasharon,מרכז,,,,,,,,,,,97000034
/tmp/file-cache/20240222092258-רשימת עצי הרצליה סקורים 15.2.24 תיקון אור קורדינאטות.xlsx#sheet-רשומות יישות,,,,27,,,,,,,8,,סיסם הודי,Dalbergia Sissoo,סיסם הודי,,6544/14,6544,14,2,"[34.8474651, 32.1496332]",,,רחוב קטן מהסטנדרט,,,,,,,,,,549207,,,,,,,,,הרצליה,,עולמית,,רא''ל אמנון ליפקין שחק/יערה,,34.8474651,185778.94749218633,32.1496332,672966.9716042049,סקר רגלי,2024-02-15,18923,סקר עצים הרצליה,מוניציפלי,8G4P4RXW+RXW9,,6400,הרצליה,Hertseliya,תל אביב,,,,,,,,"אמנון ליפקין שחק, הרצליה",אמנון ליפקין שחק,tertiary_link,64000121
/tmp/file-cache/20240222092258-רשימת עצי הרצליה סקורים 15.2.24 תיקון אור קורדינאטות.xlsx#sheet-רשומות יישות,,,,14,,,,,,,4,,מייש דרומי,Celtis Australis,מייש דרומי,,6601/6,6601,6,1,"[34.8163614, 32.1496928]",,,עץ גן בערוגה/ מדשאה,,,,,,,,,,547198,,,,,,,,,הרצליה,,עולמית,,4RX8+VG הרצליה,,34.8163614,182844.60525690243,32.1496928,672983.7321203549,סקר רגלי,2024-02-15,8421,סקר עצים הרצליה,מוניציפלי,8G4P4RX8+VGHP,,19,חוף השרון,Hof Hasharon,מרכז,,,,,,,,,,,5519
/tmp/file-cache/20230221161445-https_s3_eu_west_2_wasabisys_com_opentreebase_public_source_jerusalem_surveys_2022_tree_survey.geojson,15.0,true,,37.5,5.5,,גיזום,,,4,8.5,,ברוש_מצוי_cupressus_semperviren,Cupressus Sempervirens,ברוש מצוי,,,,,1,"[35.18737358849132, 31.72720662631469]",גדר,,,,,אין_השקיה,,,,,,,374198,,,,,,,,,,,epsg:4326,,,,35.18737358849132,217838.82184959258,31.72720662631469,626069.6347772707,סקר רגלי,2021-09-14,10734,סקר עצים ירושלים,מוניציפלי,8G3QP5GP+VWQ9,https://s3.eu-west-2.wasabisys.com/opentreebase-public/source/jerusalem/surveys/2022/tree_survey.shp,3000,ירושלים,Yerushalayim (Jerusalem),ירושלים,,,,,,,,,,,30001921
https://s3.eu-west-2.wasabisys.com/opentreebase-public/source/kfar-saba/surveys/2023/Kfar-Saba-Trees-From-HITO.xlsx#sheet-רשומות יישות,,,,45,,8,,,,,8.5,,סיסם הודי,Dalbergia Sissoo,סיסם הודי,,6426/549,6426,549,1,"[34.8991393, 32.1716467]",,,גומת שתילה ברחוב,,,,,,,,,,485828,,,,,,,"שלום אש 9, כפר סבא, ישראל",,כפר סבא,,wgs84,,טרומפלדור,,34.8991393,190660.87641080027,32.1716467,675393.094297519,סקר רגלי,2023-11-26,88106957,סקר עצים כפר סבא,מוניציפלי,8G4P5VCX+MM2V,https://s3.eu-west-2.wasabisys.com/opentreebase-public/source/kfar-saba/surveys/2023/Kfar-Saba-Trees-From-HITO.xlsx,6900,כפר סבא,Kefar Saba,מרכז,,,,,,,,,,,69000324
